"Costl_Arsol","Blue","Green","Red","VRE1","VRE2","VRE3","NIR1","NIR2","WV","Cirrus","SWIR1","SWIR4"
0.0614495958175183,0.0554745006804124,0.0936121744565217,0.0516565193,0.148229600809524,0.424411962842105,0.482473990655172,0.495316793598592,0.501878545176471,0.508654353,0.464015184666667,0.359461408846154,0.202626300406639
0.0221859969781022,0.0197636980824742,0.0388511994130435,0.03030778125,0.0682527423333333,0.194260397421053,0.232290508793103,0.247822128795775,0.255552414088235,0.258259420071429,0.189814753333333,0.106347690370629,0.0451106657385892
0.0232121617080292,0.0208784712989691,0.0396586302391304,0.02993402435,0.0731303446190476,0.179360752631579,0.206281229413793,0.221557785049296,0.229189608294118,0.235404869714286,0.21105296325,0.116655065615385,0.0472443021991701
0.0408679746642336,0.0367482320721649,0.0722826174782609,0.05634187665,0.145521259428571,0.341913348315789,0.386664004103448,0.41586849293662,0.429998085470588,0.45495864575,0.43233657025,0.225030519951049,0.0948055150290456
0.0290542355547445,0.0260165054226804,0.0453632560217391,0.02518209805,0.0815883868571429,0.370724249105263,0.465707111517241,0.477859067105634,0.483970006676471,0.483204463785714,0.396268253416667,0.258472926370629,0.115519705784232
0.0362194716788321,0.0320175399690722,0.0587572254347826,0.03047856185,0.106993544857143,0.460343492578947,0.555831006103448,0.570897592380282,0.578781272676471,0.579173370928571,0.501967047666667,0.37106876134965,0.193069942755187
0.0397641554014599,0.037169116814433,0.0554247539130435,0.04052649445,0.0933906842857143,0.284326125789474,0.334549719068966,0.350546693380282,0.358807524558824,0.362349764607143,0.308942878416667,0.206650209195804,0.0920637671203319
0.026821690540146,0.0243140088865979,0.0406844154782609,0.0236652499,0.0811573298095238,0.336204851578947,0.414344920103448,0.429842325725352,0.438335214352941,0.431800193035714,0.328137697833333,0.199407243482517,0.078134935879668
0.0292410626715328,0.0257319600309278,0.050438791,0.0269544318,0.0983100337142857,0.382520688105263,0.461043921137931,0.478344173323944,0.4871816825,0.489983893357143,0.414150756666667,0.280258480076923,0.134635892149378
0.0314078445474453,0.0274924338350515,0.0538901307173913,0.0265319046,0.0964606617619048,0.330754525052632,0.386069027310345,0.399402424014084,0.406089664941176,0.410144299714286,0.343353233666667,0.222924991216783,0.0975432608921162
0.0351521159562044,0.0326130608659794,0.0523598617608696,0.0376339906,0.0907523923333333,0.320660259105263,0.394004880034483,0.411189297542254,0.420346826529412,0.416568500214286,0.331270235333333,0.201291075874126,0.0793496668589212
0.0338238511751825,0.0312589346597938,0.049595313326087,0.03241540545,0.0841267792380952,0.310776660526316,0.383563379137931,0.400971725528169,0.410827004323529,0.402451914535714,0.318023267916667,0.214843400608392,0.0913973499377593
0.0296562528394161,0.0267213867010309,0.0506193134347826,0.0342982056,0.0893375062857143,0.266796648105263,0.318376358034483,0.336311513802817,0.345430316352941,0.35217606175,0.305661018666667,0.180371228356643,0.0737533738091286
0.0504057511240876,0.0454793156804124,0.0812921146304348,0.0488103466,0.146871064809524,0.377742969947368,0.44547639037931,0.48291904915493,0.501827841147059,0.519451461142857,0.453764805,0.303314634489511,0.137866556817427
0.0300960896058394,0.0257678958453608,0.0563305894565217,0.02689185625,0.104112151238095,0.362178332052632,0.442594979551724,0.465238356971831,0.476751387441176,0.480791896535714,0.3965800085,0.254173264328671,0.114450020568465
0.0243581608467153,0.0221195323195876,0.0374870213043478,0.0242688075,0.0701142420952381,0.260061553368421,0.311758605655172,0.322838291056338,0.330179856,0.306782774857143,0.247659945333333,0.155702703979021,0.0667800877551867
0.0338580037810219,0.0302108258865979,0.0563900938695652,0.0295427839,0.0926532492857143,0.290477186842105,0.341035688862069,0.355881615640845,0.363642899852941,0.362750532964286,0.301235950333333,0.200899851783217,0.0916603725643153
0.0439930639927007,0.0415484339484536,0.059693210326087,0.04401742955,0.0928924125714286,0.258193579894737,0.300729408137931,0.31399009734507,0.321230491470588,0.317622241535714,0.253880621083333,0.167966558531469,0.0784259791908714
0.0699288834817518,0.0616189352989691,0.129164480391304,0.07453415995,0.190918688571429,0.637887205736842,0.757977606517241,0.778595181852113,0.790971579235294,0.759231078035714,0.502189156666667,0.260652458678322,0.110246527004149
0.0581883665766423,0.0523934088556701,0.103373821652174,0.06957662125,0.159707382666667,0.557489359842105,0.687228246034483,0.713597453535211,0.728299549470588,0.70009426375,0.44946371325,0.227963759300699,0.093482367746888
0.0924433497080292,0.0868710129278351,0.134192818652174,0.0992702173,0.185666539190476,0.570119842210526,0.698241904965517,0.725124333626761,0.739316758264706,0.711473432321429,0.411495218916667,0.190885600636364,0.0672629772116183
0.0922322712335766,0.0847702501030928,0.14804065923913,0.097991099,0.216635585666667,0.711326616736842,0.865719834448276,0.896928407605634,0.914322199235294,0.870989416928571,0.517405560166667,0.253094698132867,0.10239264146473
0.0953224974963504,0.0896669236804124,0.146445953978261,0.1167345229,0.21265166347619,0.610458498842105,0.736234062862069,0.766683092809859,0.784572085529412,0.757355432214286,0.530190719583333,0.301146001237762,0.146715393207469
0.0848324294525547,0.0783485146907217,0.139066317413043,0.1006248973,0.206655000857143,0.673938428210526,0.830812253827586,0.86368025106338,0.881986912647059,0.849011739571429,0.532062648,0.266567691244755,0.110695666136929
0.0798347679124088,0.0739765830412371,0.130645727130435,0.1016457525,0.192266046619048,0.571034725578947,0.686218414206897,0.715260649176056,0.730485123205882,0.718671551607143,0.495353648666667,0.263980685664336,0.117973985070539
