"Blue","Green","Red","NIR1"
0.050496401056338,0.0908960211311475,0.0552066576197183,0.492619281175573
0.0180057986760563,0.0378636754098361,0.0314485120985915,0.244688546557252
0.0192359104647887,0.0386208356393443,0.0312743465492958,0.218455977908397
0.0343583050140845,0.0702666956721311,0.0587294621267606,0.409895195183206
0.0237679562957746,0.0437843350819672,0.0269814544366197,0.475381355969466
0.0288025555915493,0.056581589557377,0.0327916548873239,0.567770688755725
0.0351457985492958,0.0542555655737705,0.0423883247464789,0.347356326396947
0.0222693033943662,0.0395016717213115,0.0256303851971831,0.426815510160305
0.0228182398732394,0.0486885677868852,0.0292995690985915,0.474904680816794
0.0241573573661972,0.0520799297540984,0.0289772946760563,0.396778619206107
0.0306680804507042,0.051052864704918,0.0390693736901408,0.407755743824427
0.0292392974084507,0.0482798362786885,0.0340121364084507,0.397605417389313
0.0244269842957746,0.0492306527377049,0.0359658132253521,0.332648051709924
0.0414923070985916,0.0791747554098361,0.0526323101971831,0.475489857312977
0.0223027844929577,0.054290108147541,0.0296410423943662,0.460809654175573
0.0203806910140845,0.0364474488360656,0.0259633725211268,0.320895382358779
0.0270077252253521,0.0547302616721311,0.0320403341126761,0.35297397951145
0.0394529814084507,0.0586430856393443,0.0462144208591549,0.311462068503817
0.0553425549014085,0.124802419262295,0.077780905943662,0.774952594557252
0.0476961738028169,0.100505673901639,0.0721498565492958,0.708647578305344
0.0823295193943662,0.131420132639344,0.101664391394366,0.720250329152672
0.0784723002535211,0.144328232098361,0.101295305535211,0.891071555236641
0.0848840496478873,0.143514180344262,0.119561543633803,0.760812160152672
0.0729311648169014,0.135634445245902,0.103553012225352,0.85741774078626
0.0690807597746479,0.127755938114754,0.10415757671831,0.709496423587786
0.0391110941549296,0.083261594852459,0.0539509718309859,0.637138861923664
0.0618831071971831,0.104781213852459,0.0946760674366197,0.432827430312977
0.0652915979295775,0.13662567947541,0.110195475929577,0.55754578740458
0.0493518252535211,0.091969244295082,0.0864524881126761,0.372340548320611
0.0636834778169014,0.101488737032787,0.0867672945774648,0.357139471557252
0.0527574083098592,0.0988347464098361,0.0948989943802817,0.421873718374046
0.0369070733239437,0.0738728944098361,0.0563538901126761,0.327730971641221
0.0293211282535211,0.0676221558196721,0.0567355175633803,0.469031452625954
0.0366495620140845,0.0743973378196721,0.0585989215915493,0.50573833
0.0442366563380282,0.0772787505901639,0.0707429642816901,0.519129852198473
0.055428269,0.0903124839180328,0.0739506193380282,0.587715132793893
0.0542027756338028,0.118804938180328,0.0916884235352113,0.466764087427481
0.0610261555211268,0.131488315852459,0.103515741197183,0.616018458778626
0.0548532688169014,0.0934451992786885,0.0754269426901408,0.420898997717557
0.0759831588028169,0.143271871065574,0.151061020957746,0.470996298022901
0.0685075993098592,0.127595976852459,0.121393434309859,0.419780215129771
0.0877080080704225,0.144562211672131,0.172567925352113,0.43462575521374
0.0787547549577465,0.148834669721311,0.154731047774648,0.487855265419847
0.0947506988169014,0.160968786786885,0.173789984549296,0.445917446580153
0.0673186571126761,0.139615203901639,0.133644449507042,0.439653635129771
0.0429192587605634,0.0686697265901639,0.063226131084507,0.522226479671756
0.0329453180985916,0.0565891460983607,0.0403308073802817,0.646945728450382
0.0266256747605634,0.047863858852459,0.029000131,0.485193042343511
0.0361616738732394,0.0709121291803279,0.0455459195070423,0.664930905038168
0.0291665011830986,0.0631843794754098,0.0381809336760563,0.599535945229008
0.0279150124788732,0.0607030183278689,0.0424369282253521,0.413252377045802
0.0468835172816901,0.0718939707377049,0.052085311,0.572034151687023
0.056621216915493,0.0847806726557377,0.0632900512676056,0.515852252419847
0.0359724947746479,0.0638511364918033,0.0388619660704225,0.492332524381679
0.0557820563521127,0.0958692935245902,0.061666981971831,0.652404983709924
0.0369870173661972,0.0800176896721311,0.0504280491971831,0.529215532099237
0.0418528342253521,0.0792908847704918,0.0543805836478873,0.574866929122137
0.0595737766338028,0.103119426442623,0.0857040357887324,0.507888883160305
0.0389258713943662,0.0878874133442623,0.0608276149014084,0.512844683435114
0.0353605407464789,0.0807936113442623,0.0450776283521127,0.565447535328244
0.0387824777042254,0.0671401663934426,0.0536991765352113,0.415580083343511
0.0498947444507042,0.0868958144754098,0.063893329084507,0.536367804801527
0.0440765925070423,0.085929934147541,0.0743248126760563,0.425771304946565
0.0536802787042253,0.0988412146885246,0.071911014943662,0.490513407450382
0.0412178446901408,0.0739281047377049,0.0585532955633803,0.458312706251908
0.0344763924225352,0.0627557045245902,0.0516455623943662,0.40335989748855
0.048563128028169,0.0933269636885246,0.0612643716338028,0.571652065244275
0.0285043962253521,0.0688287335081967,0.0398678167183099,0.459121002908397
0.0271650713661972,0.0544755371803279,0.0400684954788732,0.35137658910687
0.031071608056338,0.0681453086557377,0.0515795941971831,0.389127474938931
