"Costl_Arsol","Blue","Green","Yellow","Red","VRE2","NIR1"
0.0246735100784314,0.0305021071803279,0.0690086714225352,0.0483821890980392,0.06406275825,0.545155132423077,0.612440407166667
0.0245107676470588,0.0305764429344262,0.0695429034507042,0.0487594958431373,0.064856241,0.556104160538462,0.625789216416667
0.0234858754117647,0.0294193956557377,0.0679882164507042,0.0475041631568627,0.0633412905625,0.552160315692308,0.620676393166667
0.0248084938235294,0.0310754117377049,0.0707243537042253,0.0498185980196078,0.0662738308125,0.563424275,0.633280775166667
0.0244041380980392,0.0308616770163934,0.0706544280985915,0.0498527301372549,0.066532131375,0.565919343192308,0.637768096861111
0.0239687578823529,0.0303912660163934,0.0694183357464789,0.0488883646470588,0.0651681561875,0.560624002,0.632514592472222
0.024125209745098,0.0305933653606557,0.0703449485633803,0.0495369626666667,0.0661542665,0.566907881384615,0.639006405444444
0.0240163110392157,0.030521943442623,0.0701173007887324,0.0496657389019608,0.0659478735,0.556144850076923,0.628882166361111
0.0232986870392157,0.029513852557377,0.0679619493098592,0.047848349627451,0.06362667,0.549848319269231,0.622104095638889
0.0229256965686274,0.0293781589836066,0.0677414419577465,0.0482839103921569,0.064465243625,0.543055052307692,0.61665389875
0.0296848398431373,0.0368958997540984,0.0894625803098592,0.0636449804509804,0.084647723,0.663744748807692,0.741636169861111
0.0293878547843137,0.0366880275409836,0.089887303,0.0639756778627451,0.08512666875,0.663868178269231,0.741277496055556
0.0289772982941176,0.0362160323114754,0.0884716097605634,0.0629472911372549,0.08370593275,0.661557438038462,0.739036617888889
0.0284911383333333,0.0355727757540984,0.0866126445633803,0.0615098765098039,0.0818767395625,0.661016239615385,0.740815772888889
0.0287268244313726,0.0359354886721312,0.0875202374366197,0.0621760987843137,0.0826644385625,0.663064221961538,0.743394620222222
0.0284729053137255,0.0356455452295082,0.0871178755070423,0.0619059656862745,0.0825106595,0.661258822384615,0.741397852472222
0.0283980662745098,0.0354797660163934,0.0867807837746479,0.0617388627647059,0.08227239175,0.660421101692308,0.740813657055556
0.0283557017647059,0.0354885704426229,0.087063705915493,0.061802827627451,0.0824432471875,0.661462578038462,0.741381497
0.0288111936078431,0.0360526257213115,0.0884008229859155,0.0627771389019608,0.08357774175,0.664525735807692,0.744555816222222
0.0287455695882353,0.0359946261311475,0.0877007471126761,0.0622944896862745,0.08287189375,0.661121105,0.740967471333333
0.0349057158823529,0.0453543424262295,0.10593524984507,0.0778378769215686,0.1007823338125,0.647506919692308,0.719375788638889
0.0345845688823529,0.0450094744262295,0.105544063957746,0.0773284511372549,0.1000628355,0.649532764923077,0.721258725666667
0.034157779254902,0.0445415732295082,0.104693733732394,0.0766595571372549,0.099440337125,0.649397504923077,0.721637176361111
0.034155858745098,0.0444855652786885,0.104631361887324,0.0766861684901961,0.09950073925,0.649218308,0.721535672833333
0.0344231613529412,0.0448790159344262,0.105332431887324,0.0772196313529412,0.1000937596875,0.652032838615385,0.724249481194444
0.0337973127843137,0.0441155515901639,0.103863913802817,0.0760523120784314,0.098658140375,0.648323671192308,0.720401503555556
0.0340408367058824,0.0442484782131148,0.104029576338028,0.0761660518431373,0.0987119043125,0.648319958269231,0.721010716777778
0.0339995118823529,0.0442379183934426,0.103951026253521,0.0761177773921569,0.09859830275,0.647990920423077,0.720535691111111
0.0346240452156863,0.0452462523934426,0.10620121184507,0.0780503533529412,0.1009890189375,0.652168113461538,0.724481410166667
0.0345553232745098,0.0451844089016393,0.107018953901408,0.0783787822352941,0.1017702421875,0.658102229923077,0.730235807694444
0.0330861227254902,0.0418247571639344,0.0856077313521127,0.0652035844313725,0.083153039,0.589320777346154,0.664978517027778
0.0338663872156863,0.0427400228196721,0.0867315845070423,0.0665788556666667,0.08478523,0.589961593038462,0.666255671527778
0.0332945123137255,0.041676954704918,0.0845540986056338,0.064128215627451,0.0817276194375,0.588075868461538,0.663302634166667
0.0322410859215686,0.039892512295082,0.0803799700704225,0.0606891086470588,0.0774152999375,0.570889716423077,0.64421413625
0.0341608076862745,0.0429611442459016,0.0877303310422535,0.0665807479803922,0.08489253425,0.600802930346154,0.676750051611111
0.0343071573333333,0.0431461810983607,0.0880318671690141,0.0668171738823529,0.0853353273125,0.602725833730769,0.678883090555556
0.0338525086666667,0.0427051769836066,0.087538011084507,0.0663528521372549,0.084876902125,0.603089328576923,0.679966392027778
0.0345525691960784,0.0435245205081967,0.0882073424084507,0.0673280946862745,0.0859794088125,0.599577460230769,0.67591218425
0.0352211284901961,0.0441487641639344,0.0892357805352113,0.0679818411764706,0.0866437660625,0.605348236961538,0.682654793222222
0.0325668865686275,0.0401332517868852,0.0805360291126761,0.0610074404117647,0.077917303,0.571187027692308,0.644618844
0.0242742934705882,0.0308635500655738,0.0606783038169014,0.0441329738431373,0.056149615125,0.504382540576923,0.582166331527778
0.023985185,0.030482618147541,0.0598610161408451,0.0434952336666667,0.0553089666875,0.505442830807692,0.583543137861111
0.0237027567254902,0.0302273501639344,0.0596806028873239,0.0432966145882353,0.05527218475,0.507761266846154,0.586371209416667
0.0228334596470588,0.0291738289180328,0.0578408021126761,0.0418660654509804,0.0535042369375,0.505687609923077,0.58512658175
0.0229084530588235,0.0292430897540984,0.0577418218028169,0.041822378745098,0.0533493303125,0.508074502961538,0.587820661805556
0.0244082483529412,0.0312438729016393,0.0616575541971831,0.0448168591960784,0.057128177,0.521313072692308,0.600898022138889
0.0240903693333333,0.0305813920983607,0.0601262616338028,0.0436415811764706,0.055743174375,0.520134689769231,0.601008351583333
