"Costl_Arsol","Blue","Green","Red","NIR2","SWIR1","SWIR4"
0.0461559573529412,0.0486701464590164,0.0908851417758621,0.0525593288157895,0.501992921172414,0.363755726964706,0.208656769297872
0.0152151475882353,0.0173193021147541,0.0380924911034483,0.0304791090789474,0.255687839172414,0.108296032705882,0.0470859584787234
0.0158974263529412,0.0185743234590164,0.0388468993965517,0.0301899257631579,0.229328503896552,0.119384156729412,0.0491600454042553
0.0278595294117647,0.0333366460983607,0.0709207725172414,0.0568220101578947,0.430238574241379,0.229596897294118,0.0991760126382979
0.0215106328235294,0.0230088558688525,0.0438405206896552,0.0255353883684211,0.484101825034483,0.262780739858824,0.12097452781383
0.0259010017058824,0.027726992147541,0.0566391164655172,0.0309699638421053,0.578946606103448,0.376130199223529,0.199550696159574
0.0325190598823529,0.0343490002459016,0.0543558203448276,0.0408510302368421,0.358955929758621,0.210091104517647,0.0958129384734043
0.0201144895882353,0.0214944106885246,0.0395148415172414,0.0240250689736842,0.438505925206897,0.203280883623529,0.0822061066755319
0.0185824141764706,0.0217386188688525,0.0487209731896552,0.0273918235263158,0.487361939517241,0.284627176658824,0.139470834718085
0.0203945885294118,0.0228515787377049,0.052094111862069,0.0270849350263158,0.406230494931034,0.226815030458824,0.101973114345745
0.0267518764117647,0.0298780935901639,0.0511951170862069,0.0379168259736842,0.420530765413793,0.205021343682353,0.0821562903617021
0.0263408145294118,0.0284730273114754,0.0483642153793103,0.0327424008947368,0.411040795896552,0.218642514976471,0.0951180620585106
0.0202285914117647,0.0234909573934426,0.0494553973793103,0.0346255287368421,0.345604591827586,0.183638041117647,0.0765324206808511
0.0364739509411765,0.0398289061639344,0.0794024442068966,0.0496807030263158,0.502159706137931,0.308440221082353,0.14267993556383
0.0176097227647059,0.0208967046065574,0.0544212925862069,0.0275119046578947,0.476966934241379,0.258296719882353,0.119745483648936
0.0183013377647059,0.0197598723934426,0.0365134422586207,0.0245925758684211,0.330301588758621,0.1586175216,0.0701546346010638
0.0225368349411765,0.0256377704754098,0.0547663937068966,0.0300994468684211,0.363787326206897,0.204305496470588,0.0951468740797872
