"Blue","Green","Red","VRE1","NIR1"
0.0302461213661972,0.0710383439295775,0.0302934817678571,0.235133538809524,0.588680730811881
0.0302926628732394,0.0715818521830986,0.0305612660357143,0.23824452047619,0.601004399871287
0.0291515236338028,0.0700373318591549,0.0294538091785714,0.235536173142857,0.596672830029703
0.0307848571971831,0.0728121954084507,0.0314399029285714,0.24179904347619,0.608682050267327
0.0305447228873239,0.0727439741690141,0.0315527083035714,0.242243996952381,0.612310386584158
0.0300825374929577,0.0714494128450704,0.0309543436607143,0.238400176047619,0.607265892792079
0.0302924136197183,0.0724382775070423,0.0312580028035714,0.241687334619048,0.613805295564356
0.0302026209295775,0.0722471653661972,0.0314118469642857,0.239136092,0.602867596485149
0.0292139292394366,0.0700034050704225,0.0300883468214286,0.234467568761905,0.596434024742574
0.0290489452676056,0.0698397930985915,0.0308030726607143,0.232866685380952,0.590144695366337
0.0365523103521127,0.092513005084507,0.0388925384285714,0.284298012857143,0.716964158455446
0.0363219082957746,0.0930301628309859,0.0388614509107143,0.286191913380952,0.716685045811881
0.035854610915493,0.0915273503098592,0.0382579141607143,0.282221621904762,0.714766875613861
0.035221949028169,0.0895609123239437,0.0374828169821429,0.278250150857143,0.716112008128713
0.0355755278591549,0.0905050145211268,0.0378804265,0.280168618142857,0.718462439356436
0.035287952084507,0.090104995056338,0.0376532324464286,0.279418684095238,0.716553730633663
0.0351318092394366,0.0897886677323944,0.0375104672142857,0.279022845761905,0.715801074950495
0.0351399800140845,0.0900731992112676,0.0374859604642857,0.280210489952381,0.71649152170297
0.0356995508732394,0.0914501482535211,0.0380858923214286,0.283048912238095,0.719464524019802
0.0356419002957746,0.090687828,0.0379002050178571,0.280404719285714,0.716244868851485
0.0447786190985916,0.109521177929577,0.0492977486071429,0.308698724047619,0.693449683227723
0.0444427609295775,0.109119239591549,0.0487141365714286,0.308542364857143,0.695649864544554
0.0439683819859155,0.108211650830986,0.0483355657857143,0.307444368857143,0.695680388891089
0.0439206003239437,0.108146870098592,0.0484252353392857,0.307205981095238,0.695605059742574
0.0443043665211268,0.108875157760563,0.0488599840892857,0.308642512714286,0.698362481158416
0.0435394541126761,0.107368483098592,0.0478219441785714,0.305981533857143,0.694788224128713
0.0436943417042253,0.107540894971831,0.0479741500892857,0.305878256714286,0.694895926227723
0.0436879594788732,0.107444380225352,0.0479394596964286,0.305569528047619,0.694699234445545
0.0446589775211268,0.109827811732394,0.0492340766785714,0.31030588052381,0.698571885237624
0.0445857654366197,0.110681499267606,0.0492640517678571,0.314037372571429,0.704287253722772
0.0413956238028169,0.0883427446197183,0.0452512386071429,0.253932559666667,0.639968890039604
0.0422850655070423,0.089488391028169,0.0467992170714286,0.255255924571429,0.640705268920792
0.0412810995352113,0.0871732762112676,0.0445517295,0.251960645047619,0.63844838419802
0.0395397612253521,0.0828444506478873,0.0419144628214286,0.242467792761905,0.619806979524752
0.0425374392535211,0.0904843436478873,0.0461722683571429,0.25946397952381,0.651599821910891
0.0427289241830986,0.0907875952816901,0.0463606413392857,0.260583778380952,0.653559972267327
0.0422879610140845,0.0902978905352113,0.0459356911428571,0.260396682428571,0.654188862544554
0.0430883179859155,0.0909790476338028,0.0471609374821429,0.260211067952381,0.650267462594059
0.0437165622394366,0.0920008980422535,0.04757581475,0.262714271571429,0.656476117108911
0.0397857258873239,0.0829910483521127,0.0424871213392857,0.243216167,0.619736608940594
0.030559253084507,0.0620599646478873,0.02990791925,0.188091096809524,0.557645636871287
0.0301889103521127,0.0612104598450704,0.0295736395,0.186877410095238,0.559126332237624
0.0299237992957746,0.0610476575070423,0.0293153687142857,0.18770593147619,0.561413810168317
0.0288815991549296,0.059167551,0.0283574854642857,0.184320104857143,0.55983658790099
0.0289440817887324,0.0590644765774648,0.0283194516964286,0.184634906952381,0.562553491841584
0.0309307387464789,0.0630750807746479,0.0304539099107143,0.194019449761905,0.575213152237624
