"Costl_Arsol","Blue","Green","Yellow","Red","VRE2","NIR1"
0.0461688420588235,0.0482935646229508,0.0878038032112676,0.0671493342745098,0.0997450585,0.467859727115385,0.504065929111111
0.0138549354313725,0.0171346880655738,0.0348804556197183,0.0342866780392157,0.050206715,0.220203552115385,0.258266988472222
0.0151279876470588,0.0183697506721311,0.0357729142957747,0.0345285991960784,0.0525828025625,0.196135679769231,0.231934168416667
0.0264492823529412,0.0329629731311475,0.063878470056338,0.0662881854117647,0.103218076125,0.370320868923077,0.43558465525
0.0207467072156863,0.0228414247213115,0.0419819895915493,0.0316339136470588,0.049978974375,0.443591569576923,0.485998483416667
0.0248788922745098,0.027506412557377,0.0541686964366197,0.0394278959411765,0.0637141894375,0.533466650538462,0.581562801527778
0.0320248618039216,0.0341500406393443,0.0522303976619718,0.0463768791960784,0.066753519125,0.320530618461538,0.361616361694444
0.0197013623137255,0.0213197855409836,0.0381414877746479,0.0297631730392157,0.050462226125,0.395013691884615,0.440991511111111
0.0162739703137255,0.0214665768360656,0.0464840649577465,0.0346001298431373,0.0600434915,0.441633235730769,0.49019967125
0.0194896885882353,0.0225569530327869,0.0499105225070423,0.0367119364705882,0.060621439125,0.373125603346154,0.408503013222222
0.0245817525294118,0.0296431657377049,0.048757625915493,0.042968268,0.0616903499375,0.372612180884615,0.423001661222222
0.0248804332156863,0.0282813481311475,0.046403941915493,0.0387152493333333,0.0560680925,0.362205883461538,0.413333336416667
0.0174922722745098,0.023233695295082,0.0459944798591549,0.0415959908431373,0.0620804209375,0.302646911423077,0.348656489972222
0.0356321612745098,0.0394276214426229,0.0750481056478873,0.0646806514509804,0.101800838625,0.421471817230769,0.508446324638889
0.0164327452352941,0.0205470714918033,0.0512137614647887,0.0390447860196078,0.0656399428125,0.4203584195,0.480675022166667
0.0177337811960784,0.0196096925081967,0.0347737070140845,0.029079319254902,0.0466321981875,0.297901124538462,0.331619120166667
0.0210743573137255,0.0253059600491803,0.0525198688450704,0.0408246980588235,0.061878262125,0.327269958153846,0.366168731972222
0.0349563101176471,0.0382960378196721,0.056868552056338,0.0507393558823529,0.06971721925,0.290086634961538,0.32363557175
0.0335633064509804,0.0522670246229508,0.115648206366197,0.0990955426470588,0.1329611045625,0.731206646230769,0.793746132027778
0.0279174278235294,0.0449805286885246,0.0939744061267606,0.0839479216078431,0.1149896961875,0.655339031730769,0.732191931277778
0.0648682384117647,0.0797719254262295,0.125635758098592,0.114177138862745,0.14254031275,0.665982974807692,0.742836857333333
0.0543227160784314,0.0749326032786885,0.136945817295775,0.119782710039216,0.157905859125,0.827343886269231,0.918811273861111
0.0565763739411765,0.0817665274754098,0.136003004704225,0.128965392196078,0.1655789773125,0.703293543961538,0.789350189777778
0.0448451685294118,0.0696436916721311,0.127954146971831,0.116460176607843,0.154094548125,0.790412420730769,0.886576162972222
0.042246625745098,0.0658481502622951,0.12045351,0.113173719627451,0.14772010075,0.656194913076923,0.735101550055556
0.0235237584509804,0.0368707093442623,0.0782077404084507,0.065886691,0.091030438125,0.5893329705,0.658701033527778
0.0446520349019608,0.0598051423934426,0.0981524563239437,0.100119087117647,0.1280544141875,0.401922110346154,0.448820456527778
0.0381536490196078,0.0618972648196721,0.125764531267606,0.125118138960784,0.16461499025,0.528768081576923,0.572655512388889
0.0318463545098039,0.0472027069508197,0.0853245198732394,0.0891551338431373,0.119113484,0.341713138038462,0.390315631722222
0.0487371653137255,0.0616631399180328,0.0965086331690141,0.0932652615686275,0.117142032125,0.334987254461538,0.369555521083333
0.0331855250588235,0.0504006513770492,0.0917259758873239,0.096136178627451,0.130917456,0.388430860692308,0.441637711944444
0.0219398738627451,0.0350540206885246,0.0689890067464789,0.0640911849803922,0.086185165875,0.307915400192308,0.339059995166667
0.0126370452941176,0.0273132856393443,0.0623285181549296,0.0610900676666667,0.0896634544375,0.430164138230769,0.488079302166667
0.0231000851764706,0.0348543077704918,0.0692172326338028,0.0650006879411765,0.0907484525625,0.468609416653846,0.523268342527778
0.0260221379411765,0.042516054704918,0.0726082140704225,0.0725651846666667,0.09655698875,0.473026830423077,0.538314052416667
0.0385523745098039,0.0537477657213115,0.0857229282535211,0.0802144642156863,0.102319890125,0.541494228230769,0.605619673027778
0.0348784118431373,0.0511329676393443,0.109152568352113,0.106597674705882,0.1428568218125,0.435693517807692,0.484792962305556
0.036870235745098,0.057894580704918,0.12043265943662,0.118659388352941,0.1604163313125,0.578528805576923,0.634934114055556
0.0410527979803922,0.0530334855081967,0.0879217509859155,0.0839576070784314,0.10807282975,0.393993057384615,0.433955379222222
0.0448861479019608,0.0726240301639344,0.131257330873239,0.149610744901961,0.2036341839375,0.428704300653846,0.498482853194444
0.0433893006078431,0.0654572878688525,0.117980443943662,0.126650967588235,0.1705942225,0.384754205730769,0.441454716305556
0.0544458391176471,0.0845385699508197,0.134142793338028,0.158745275901961,0.21569961725,0.386765863115385,0.466644687916667
0.0484895618823529,0.0752153817868852,0.136511707366197,0.154526990705882,0.21059648,0.4435357255,0.516626225194444
0.0616422370392157,0.0913874092622951,0.148878866295775,0.170125529176471,0.2223984846875,0.406712554115385,0.471386530555556
0.0377483702156863,0.0640673749672131,0.126493359647887,0.140708061960784,0.187511481875,0.408505469923077,0.459462999444444
0.0310562900980392,0.0416302943442623,0.0649545289859155,0.0648313748039216,0.0839072268125,0.457473793461538,0.547872807777778
0.0242951664117647,0.0318232929672131,0.0538971336056338,0.0462358156078431,0.0621717495625,0.573423087807692,0.669635311805556
