"Green","Red","VRE2","NIR1"
0.0974503861463415,0.0516663027804878,0.416381001833333,0.484694265170732
0.0387516626341463,0.0298561036585366,0.189616599166667,0.234950373634146
0.0395725051707317,0.0295965171219512,0.1765363855,0.208844148658537
0.0705535818292683,0.0552284362926829,0.337426298833333,0.391284592463415
0.0472647634390244,0.0252746433658537,0.356878871333333,0.467937670414634
0.0614301147317073,0.0306184058292683,0.446702951833333,0.558352759658537
0.0564162582682927,0.040384285195122,0.277834093333333,0.337255111243902
0.0422625399756098,0.0237231541707317,0.325201927666667,0.416977069609756
0.052723479097561,0.0270808322682927,0.371561553333333,0.463955129707317
0.0562776379512195,0.0264585525853659,0.322987437166667,0.388205635780488
0.0532483583658537,0.0374785049756098,0.311075127833333,0.397121309634146
0.0508699809268293,0.0323324428292683,0.301146921166667,0.386638041390244
0.0510464467073171,0.0338249229268293,0.260342723666667,0.321411955170732
0.0825786698292683,0.0482230125121951,0.370282843333333,0.451641088195122
0.058244014097561,0.0265180323658537,0.351627295,0.446512272487805
0.0385430721219512,0.0243234946829268,0.252944407166667,0.313857541658537
0.0584156766097561,0.0291912890487805,0.2837877575,0.343590983780488
0.060779286902439,0.043958884804878,0.2523416375,0.302876338341463
0.130736138243902,0.072711402097561,0.620026554166667,0.761672995268293
0.104610945634146,0.0685544025121951,0.538580245333333,0.692048285439024
0.135789629414634,0.0981316999268293,0.551874243,0.703393188682927
0.150498461292683,0.096242785097561,0.6889197225,0.871549119219512
0.147164314878049,0.115907744926829,0.592521747666667,0.741437358682927
0.140445263585366,0.0993621662439024,0.651279004,0.836813196634146
0.131531723487805,0.100691809365854,0.5546712175,0.691245281146341
0.087656700902439,0.0507849789512195,0.48636056,0.621878322073171
0.105698896146341,0.0918110355609756,0.355011039833333,0.421007811317073
0.138659833926829,0.104848451536585,0.4781445315,0.546543012560976
0.0924485715853659,0.0838117872926829,0.3062318495,0.359254113585366
0.103508926341463,0.084036421097561,0.301324235333333,0.347907739512195
0.099438673097561,0.092192548,0.3481735505,0.407906023341463
0.0762003267073171,0.0537445154146341,0.276268135166667,0.319737877707317
0.0692692587804878,0.0541157933170732,0.363303688166667,0.455252182780488
0.0767579805853659,0.0559291666585366,0.392347179666667,0.493331349292683
0.078602987097561,0.0688747917073171,0.379450500833333,0.505373112853658
0.0928805791463415,0.0716689689512195,0.435247265666667,0.574818470292683
0.121093641487805,0.0868384144146341,0.399418719333333,0.453654332219512
0.133613414780488,0.0983429264878049,0.514110648,0.602205382512195
0.0955220385853659,0.0725779543658537,0.3468699635,0.411041425219512
0.140912366878049,0.146795863756098,0.3980828125,0.451455913512195
0.127106797536585,0.116880551512195,0.3559500415,0.403789282926829
0.140916831634146,0.169860484804878,0.358713656833333,0.411715329756098
0.146616424170732,0.150040756073171,0.411680393833333,0.467197580634146
0.157919078365854,0.169994851292683,0.3811666825,0.427408874219512
0.137955269121951,0.128869420487805,0.382351700333333,0.425235361121951
0.0697471772926829,0.0616955512682927,0.339132220333333,0.503746509146341
0.0593538378780488,0.0385825552439024,0.408640869833333,0.630774192707317
0.0507970971707317,0.0272339076341463,0.320172157833333,0.475855264268293
0.0746866182926829,0.0428728904634146,0.452788946,0.649289513097561
0.0669804622682927,0.0354870692926829,0.427743553166667,0.585150072365854
0.062874538804878,0.0403018569268293,0.303935025333333,0.405366065756098
0.0750560086585366,0.0501012640487805,0.390621436,0.558707429707317
0.0877755913170732,0.0610474758292683,0.361801521333333,0.502418046853659
0.067228444,0.0364929877317073,0.346087453666667,0.485577175268293
0.100785147585366,0.0584923994634146,0.479908387333333,0.642431403536585
0.0836199489756098,0.0469612551707317,0.418276079166667,0.519700797707317
0.0829454895853659,0.0516882842926829,0.4322977545,0.563635389902439
0.105136883560976,0.0828056236097561,0.401080578333333,0.497803297414634
0.0907850071463415,0.0573114254146341,0.408093739333333,0.503089073731707
0.0853608768536585,0.0413890463902439,0.441479042333333,0.558429597512195
0.069072566,0.0516297046097561,0.311401693333333,0.40504770004878
0.0898395975853658,0.0611298913170732,0.4071781,0.524262220853659
0.0870914981219512,0.0714866354146342,0.337308222666667,0.412757827878049
0.101944880609756,0.0683253231219512,0.3916952305,0.478911704707317
0.0759379462195122,0.0562755432439024,0.344572406166667,0.446446355756098
0.0642744616341463,0.0496491112926829,0.297123471833333,0.390305290658537
0.0972901424390244,0.0578933136829268,0.446203068166667,0.561466668804878
0.0722731361463415,0.0367220833414634,0.3570422985,0.45034070304878
0.0562993377073171,0.0380376341707317,0.2697085635,0.342699542390244
0.0696209064146341,0.0486106915609756,0.309352561833333,0.379088876707317
