"Costl_Arsol","Blue","Green","Red","VRE1","VRE2","VRE3","NIR1","NIR2","WV"
0.0426410524817518,0.0369501911752577,0.0760558740869565,0.02995181665,0.100664970428571,0.451588519526316,0.576186133862069,0.598198859640845,0.610849134970588,0.593841333428571
0.0428331958613139,0.0371145849484536,0.0766015487826087,0.03015473805,0.101880622238095,0.459788897894737,0.588130587172414,0.610907548535211,0.623857829294118,0.609786991428571
0.0415297680364963,0.0358514858762887,0.0750884274347826,0.02910587865,0.100041930714286,0.456273038684211,0.584121851931034,0.606263317274648,0.618881673794118,0.601257230785714
0.0435455646277372,0.0377428809690722,0.0778951012391304,0.03107077285,0.103691627666667,0.465893253105263,0.595660058448276,0.618598423788732,0.631462456147059,0.614912253035714
0.0433238845839416,0.0375342604639175,0.0778352982826087,0.0312023026,0.104038543809524,0.467395719473684,0.598925891206897,0.622513807007042,0.635801349735294,0.621812011607143
0.0426114426350365,0.036948417185567,0.0764332432391304,0.0306066855,0.101966769380952,0.462104625631579,0.59378817862069,0.61736524778169,0.630582064529412,0.613528335071429
0.0430432917591241,0.0372553899690722,0.0775518168913043,0.03090054485,0.103575480857143,0.467514773210526,0.60039951737931,0.623858906838028,0.637227890382353,0.6192050715
0.0428780518394161,0.0371083080721649,0.0773893650217391,0.0311061621,0.103118279571429,0.459247050947368,0.589191196827586,0.61328169815493,0.626683733235294,0.613015835964286
0.0415379125255474,0.0359248942680412,0.0749978246521739,0.0297625068,0.100083531666667,0.453274573947368,0.582918737448276,0.606755450338028,0.620235255852941,0.605952997178571
0.0412880518175182,0.0357377180515464,0.0748066273043478,0.0304588549,0.100543415095238,0.447792149473684,0.57611889562069,0.600832157338028,0.614686392088235,0.598841269785714
0.0534224021751825,0.0456789203505155,0.0992326501086957,0.03852561985,0.12970062547619,0.541043822157895,0.703852905689655,0.726955416683099,0.7397775575,0.714770991142857
0.0533894556715328,0.0455201625051546,0.0998906193695652,0.0384343909,0.130635993952381,0.542045543684211,0.703744106310345,0.726633108521127,0.739309357352941,0.7135913165
0.0526131611605839,0.0449193040721649,0.0982268750652174,0.03790364215,0.12839090847619,0.538546174,0.701857645689655,0.724561318816901,0.737289935852941,0.706381895107143
0.0516019363138686,0.0440948221340206,0.0960897305869565,0.03710883035,0.125828715761905,0.535669335578947,0.702617269689655,0.726135296415493,0.739131405058824,0.7102641885
0.052136576540146,0.0445487040515464,0.0970863361304348,0.03748525945,0.126932922761905,0.537755182789474,0.704792906068965,0.728587864521127,0.741710342029412,0.711458001857143
0.0518074274890511,0.044230286257732,0.0966876151304348,0.03725736375,0.126648653952381,0.536302785578947,0.703029945517241,0.726600292591549,0.739674776058823,0.710302000642857
0.0515855207445255,0.0440191990824742,0.0963742395434783,0.037155161,0.126400258190476,0.535641360421053,0.702263728896552,0.725946796429577,0.738992650058824,0.711674729107143
0.0516866206350365,0.0440836823814433,0.0966903537826087,0.0371412991,0.126844042142857,0.537104255947368,0.703060924689655,0.726602998443662,0.739638659176471,0.7104414405
0.0524736402992701,0.0447747802061856,0.0981698992173913,0.03772639675,0.128549208047619,0.540274056947368,0.706004586689655,0.729710809,0.742780108441176,0.716585313214286
0.0522326485693431,0.0446220255463918,0.0973199701304348,0.0375354335,0.127219270666667,0.536986831421053,0.702935221689655,0.726310773873239,0.739112088147059,0.709854184535714
0.0640020891167883,0.0554374844948454,0.117029842456522,0.0490543314,0.149599452142857,0.545450531578947,0.680388882827586,0.703850206380282,0.716982463941176,0.703321295964286
0.0636623868759124,0.0550871041546392,0.116652966217391,0.04848044415,0.148887507428571,0.546579338842105,0.682620955172414,0.705914364852113,0.7188858865,0.703651478285714
0.0630684423941606,0.0545669115154639,0.115672255521739,0.04812392295,0.148062458666667,0.545981118315789,0.682631962275862,0.706124813676056,0.719225450823529,0.708699114357143
0.0630206441970803,0.0545233960206186,0.115584890717391,0.048204469,0.148041053285714,0.545701021631579,0.68249827037931,0.706069896788732,0.718885284588235,0.705254378214286
0.0634938856569343,0.0549685352783505,0.116334136304348,0.04857295145,0.148853426142857,0.548206701947368,0.685268686206897,0.708775348971831,0.721853877852941,0.708519887035714
0.062521868379562,0.0540651399484536,0.114769389347826,0.04757445665,0.147085576619048,0.544631476578947,0.681701736793103,0.705119842232394,0.718290552823529,0.701465495321429
0.0626846512481752,0.0542306352989691,0.114925976913043,0.04778741495,0.147082640619048,0.544683025052632,0.681846706103448,0.705365270387324,0.718514956382353,0.70305826
0.0626442768759124,0.0542031244845361,0.11485296623913,0.04777234065,0.146921963571429,0.544213399789474,0.68155833337931,0.705177570964789,0.718350636823529,0.704566670892857
0.0639800668467153,0.0553571949793814,0.117433605804348,0.04899701275,0.15013768952381,0.549126283894737,0.685494317241379,0.708866745619718,0.722181514235294,0.705672124642857
0.0642060387372263,0.0554447597938144,0.118386223521739,0.04902779865,0.151643039047619,0.554705249789474,0.691219065068965,0.71465958984507,0.727833623264706,0.715004692714286
0.0551244547007299,0.0489331500103093,0.094001689,0.0449952363,0.121235286285714,0.478973246736842,0.627347455137931,0.650056937323944,0.662812752470588,0.643167989892857
0.0560641677445256,0.049870473556701,0.0951708738913044,0.04666297755,0.122774339285714,0.479788185631579,0.628038554517241,0.650967769542254,0.664004284647059,0.646877296178571
0.0547781331313869,0.0486967355360825,0.0926845496304348,0.044347278,0.119407166,0.477749272210526,0.626089314931034,0.64844568556338,0.661283165,0.638915332464286
0.0522957144890511,0.046492680185567,0.0881478509565217,0.041670551,0.113812423380952,0.463304291210526,0.607709278068966,0.629589250302817,0.642362157176471,0.622556411285714
