"Costl_Arsol","Blue","Green","Yellow","Red","VRE2"
0.0246735100784314,0.0305021071803279,0.0690086714225352,0.0531249045384615,0.030399206295082,0.293920393463415
0.0245107676470588,0.0305764429344262,0.0695429034507042,0.0535264784615385,0.0306873410327869,0.298530246634146
0.0234858754117647,0.0294193956557377,0.0679882164507042,0.0522551457307692,0.0295701418688525,0.295588108414634
0.0248084938235294,0.0310754117377049,0.0707243537042253,0.0547028057307692,0.0315714593934426,0.302724847414634
0.0244041380980392,0.0308616770163934,0.0706544280985915,0.0546076463076923,0.0316933727213115,0.30351881
0.0239687578823529,0.0303912660163934,0.0694183357464789,0.0535495759615385,0.0310859600983607,0.299329007707317
0.024125209745098,0.0305933653606557,0.0703449485633803,0.0543119434615385,0.0314002536229508,0.303155604609756
0.0240163110392157,0.030521943442623,0.0701173007887324,0.0543053764230769,0.031538813,0.298947165512195
0.0232986870392157,0.029513852557377,0.0679619493098592,0.0523438700384615,0.0302119985245902,0.293959094512195
0.0229256965686274,0.0293781589836066,0.0677414419577465,0.0527006496538462,0.0309342778196721,0.291268233073171
0.0296848398431373,0.0368958997540984,0.0894625803098592,0.0704491489230769,0.0390690394590164,0.354188339243902
0.0293878547843137,0.0366880275409836,0.089887303,0.0708869910769231,0.0390158940491803,0.355701078097561
0.0289772982941176,0.0362160323114754,0.0884716097605634,0.0697265839615385,0.0384099713114754,0.35202065502439
0.0284911383333333,0.0355727757540984,0.0866126445633803,0.0681014217307692,0.0376410997377049,0.348462614780488
0.0287268244313726,0.0359354886721312,0.0875202374366197,0.0688786596538462,0.0380396600819672,0.35036409102439
0.0284729053137255,0.0356455452295082,0.0871178755070423,0.0686114840769231,0.0378228939180328,0.349429334682927
0.0283980662745098,0.0354797660163934,0.0867807837746479,0.0683982678846154,0.037666295852459,0.348945854951219
0.0283557017647059,0.0354885704426229,0.087063705915493,0.068492403,0.0376479813934426,0.35019800604878
0.0288111936078431,0.0360526257213115,0.0884008229859155,0.0695785281923077,0.0382285386721311,0.35304016595122
0.0287455695882353,0.0359946261311475,0.0877007471126761,0.0690410771538462,0.0380479714918033,0.350290913804878
0.0349057158823529,0.0453543424262295,0.10593524984507,0.085360082,0.0494762836393443,0.372146674
0.0345845688823529,0.0450094744262295,0.105544063957746,0.0848350523461538,0.0488907952622951,0.372327012195122
0.034157779254902,0.0445415732295082,0.104693733732394,0.0840154202692308,0.0485173738688525,0.371424883243902
0.034155858745098,0.0444855652786885,0.104631361887324,0.0840316240384615,0.0486034983114754,0.37118530497561
0.0344231613529412,0.0448790159344262,0.105332431887324,0.0846533381153846,0.0490350358360656,0.372910785585366
0.0337973127843137,0.0441155515901639,0.103863913802817,0.0834056006538462,0.0479978078360656,0.370037734756098
0.0340408367058824,0.0442484782131148,0.104029576338028,0.0835160101153846,0.0481470106721311,0.369979503317073
0.0339995118823529,0.0442379183934426,0.103951026253521,0.0834431656538462,0.0481075771967213,0.369624191634146
0.0346240452156863,0.0452462523934426,0.10620121184507,0.0855572942307692,0.0494071710327869,0.374353645292683
0.0345553232745098,0.0451844089016393,0.107018953901408,0.0860097641923077,0.0494427734426229,0.378498332341463
0.0330861227254902,0.0418247571639344,0.0856077313521127,0.070898595,0.045393704147541,0.315316181
0.0338663872156863,0.0427400228196721,0.0867315845070423,0.0721747106923077,0.046956576557377,0.316470501390244
0.0332945123137255,0.041676954704918,0.0845540986056338,0.0697729765,0.0446993605901639,0.313591097658537
0.0322410859215686,0.039892512295082,0.0803799700704225,0.0659793565,0.0420441868688525,0.302846992878049
0.0341608076862745,0.0429611442459016,0.0877303310422535,0.0724197974230769,0.0463218327213115,0.321974213439024
0.0343071573333333,0.0431461810983607,0.0880318671690141,0.0726969900769231,0.0465251507868852,0.323364476682927
0.0338525086666667,0.0427051769836066,0.087538011084507,0.0722126123846154,0.0460738286885246,0.323227061780488
0.0345525691960784,0.0435245205081967,0.0882073424084507,0.0732167117692308,0.0473075769836066,0.322460851829268
0.0352211284901961,0.0441487641639344,0.0892357805352113,0.0739190865384615,0.0477531926065574,0.325601039756098
0.0325668865686275,0.0401332517868852,0.0805360291126761,0.0663685938461538,0.0426283464262295,0.303646766073171
0.0242742934705882,0.0308635500655738,0.0606783038169014,0.0480864992692308,0.030039134442623,0.245096731756098
0.023985185,0.030482618147541,0.0598610161408451,0.0473043304230769,0.0297068002622951,0.24437518097561
0.0237027567254902,0.0302273501639344,0.0596806028873239,0.0470268566153846,0.0294456224918033,0.245541087365854
0.0228334596470588,0.0291738289180328,0.0578408021126761,0.0454161170769231,0.0284805068360656,0.242267045512195
0.0229084530588235,0.0292430897540984,0.0577418218028169,0.0452824768076923,0.0284505853934426,0.243080580829268
0.0244082483529412,0.0312438729016393,0.0616575541971831,0.0485118390769231,0.0305805506065574,0.253460108341463
0.0240903693333333,0.0305813920983607,0.0601262616338028,0.0472004837692308,0.0298314366557377,0.250936830268293
0.0229641191568627,0.0291778327377049,0.0576033275070423,0.0451226606923077,0.0283632956721311,0.245347467658537
0.0231753140392157,0.0295229401639344,0.0582332952112676,0.0457074173846154,0.0287336383278689,0.245655841609756
0.023424443372549,0.0298439799016393,0.0586989005633803,0.0460481062692308,0.0290045575409836,0.246544576243902
0.0315872842156863,0.0392281643114754,0.0832710132253521,0.0667565843461538,0.0403779456393443,0.321083885439024
